Start,DoS,Path,Msg
/wiki/Man_and_Woman_(TV_series),10,"['https://en.wikipedia.org/wiki/Man_and_Woman_(TV_series)', 'https://en.wikipedia.org/wiki/South_Korean_television_series', 'https://en.wikipedia.org/wiki/Korean_language', 'https://en.wikipedia.org/wiki/First_language', 'https://en.wikipedia.org/wiki/Language']",OK - short path at /wiki/Language (last idx: 4).
/wiki/Parviz_Nouri,14,"['https://en.wikipedia.org/wiki/Parviz_Nouri', 'https://en.wikipedia.org/wiki/Tehran', 'https://en.wikipedia.org/wiki/Capital_city']",OK - short path at /wiki/Capital_city (last idx: 2).
"/wiki/Ste._Rita,_Manitoba",16,"['https://en.wikipedia.org/wiki/Ste._Rita,_Manitoba', 'https://en.wikipedia.org/wiki/Unincorporated_area']",OK - short path at /wiki/Unincorporated_area (last idx: 1).
/wiki/Konstantinos_Vlachopoulos,22,"['https://en.wikipedia.org/wiki/Konstantinos_Vlachopoulos', 'https://en.wikipedia.org/wiki/Armatoloi', 'https://en.wikipedia.org/wiki/Militia', 'https://en.wikipedia.org/wiki/Army', 'https://en.wikipedia.org/wiki/Military_organization']",OK - short path at /wiki/Military_organization (last idx: 4).
/wiki/Gopalnagar_railway_station,18,"['https://en.wikipedia.org/wiki/Gopalnagar_railway_station', 'https://en.wikipedia.org/wiki/Kolkata_Suburban_Railway', 'https://en.wikipedia.org/wiki/Suburban_rail', 'https://en.wikipedia.org/wiki/Passenger_rail_transport', 'https://en.wikipedia.org/wiki/Means_of_transport']",OK - short path at /wiki/Means_of_transport (last idx: 4).
/wiki/Matsatejo_Sokiaw,20,"['https://en.wikipedia.org/wiki/Matsatejo_Sokiaw', 'https://en.wikipedia.org/wiki/Ministry_of_Energy_(Brunei)', 'https://en.wikipedia.org/wiki/Cabinet_of_Brunei', 'https://en.wikipedia.org/wiki/Brunei', 'https://en.wikipedia.org/wiki/Country']",OK - short path at /wiki/Country (last idx: 4).
/wiki/Yelavarthy_Nayudamma,14,"['https://en.wikipedia.org/wiki/Yelavarthy_Nayudamma', 'https://en.wikipedia.org/wiki/Chemical_engineer', 'https://en.wikipedia.org/wiki/Chemical_industry', 'https://en.wikipedia.org/wiki/Company', 'https://en.wikipedia.org/wiki/Legal_personality', 'https://en.wikipedia.org/wiki/Aptitude', 'https://en.wikipedia.org/wiki/Competence_(human_resources)', 'https://en.wikipedia.org/wiki/Skills', 'https://en.wikipedia.org/wiki/Learning']",OK - short path at /wiki/Learning (last idx: 8).
/wiki/Jamie_Bernadette,13,"['https://en.wikipedia.org/wiki/Jamie_Bernadette', 'https://en.wikipedia.org/wiki/Americans', 'https://en.wikipedia.org/wiki/Citizenship_of_the_United_States', 'https://en.wikipedia.org/wiki/Citizenship', 'https://en.wikipedia.org/wiki/Sovereign_state']",OK - short path at /wiki/Sovereign_state (last idx: 4).
/wiki/Buenavista_de_Cu%C3%A9llar_(municipality),23,"['https://en.wikipedia.org/wiki/Buenavista_de_Cu%C3%A9llar_(municipality)', 'https://en.wikipedia.org/wiki/Municipalities_of_Guerrero', 'https://en.wikipedia.org/wiki/Guerrero', 'https://en.wikipedia.org/wiki/Administrative_divisions_of_Mexico', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/North_America', 'https://en.wikipedia.org/wiki/Continent']",OK - short path at /wiki/Continent (last idx: 6).
/wiki/Lansdowne_Cup,22,"['https://en.wikipedia.org/wiki/Lansdowne_Cup', 'https://en.wikipedia.org/wiki/Rugby_union']",OK - short path at /wiki/Rugby_union (last idx: 1).
/wiki/Transmute_(album),18,"['https://en.wikipedia.org/wiki/Transmute_(album)', 'https://en.wikipedia.org/wiki/Alternative_rock', 'https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/DIY_ethic', 'https://en.wikipedia.org/wiki/Repair', 'https://en.wikipedia.org/wiki/Machinery', 'https://en.wikipedia.org/wiki/Power_(physics)']",OK - short path at /wiki/Power_(physics) (last idx: 6).
/wiki/Thomas_Mott_Shaw_Estate,-1,"['https://en.wikipedia.org/wiki/Thomas_Mott_Shaw_Estate', 'https://en.wikipedia.org/wiki/Concord,_Massachusetts', 'https://en.wikipedia.org/wiki/Middlesex_County,_Massachusetts', 'https://en.wikipedia.org/wiki/Commonwealth_(U.S._state)', 'https://en.wikipedia.org/wiki/U.S._state']",NOK - short path at /wiki/U.S._state (last idx: 4).
/wiki/Dylan_Keogh,22,"['https://en.wikipedia.org/wiki/Dylan_Keogh', 'https://en.wikipedia.org/wiki/BBC', 'https://en.wikipedia.org/wiki/Public_broadcasting', 'https://en.wikipedia.org/wiki/Radio', 'https://en.wikipedia.org/wiki/Telecommunication', 'https://en.wikipedia.org/wiki/Postal_mail']",OK - short path at /wiki/Postal_mail (last idx: 5).
/wiki/Tai_Si,15,"['https://en.wikipedia.org/wiki/Tai_Si', 'https://en.wikipedia.org/wiki/King_Wen_of_Zhou', 'https://en.wikipedia.org/wiki/Posthumous_title', 'https://en.wikipedia.org/wiki/Personal_name', 'https://en.wikipedia.org/wiki/Names', 'https://en.wikipedia.org/wiki/Referent', 'https://en.wikipedia.org/wiki/Person']",OK - short path at /wiki/Person (last idx: 6).
/wiki/Antidesma_montanum,13,"['https://en.wikipedia.org/wiki/Antidesma_montanum', 'https://en.wikipedia.org/wiki/Phyllanthaceae', 'https://en.wikipedia.org/wiki/Family_(biology)']",OK - short path at /wiki/Family_(biology) (last idx: 2).
/wiki/Lake_Langano,23,"['https://en.wikipedia.org/wiki/Lake_Langano', 'https://en.wikipedia.org/wiki/Oromia_Region', 'https://en.wikipedia.org/wiki/Regions_of_Ethiopia', 'https://en.wikipedia.org/wiki/Ethiopia', 'https://en.wikipedia.org/wiki/Horn_of_Africa', 'https://en.wikipedia.org/wiki/Peninsula']",OK - short path at /wiki/Peninsula (last idx: 5).
/wiki/Streams_Flow_from_a_River,-1,"['https://en.wikipedia.org/wiki/Streams_Flow_from_a_River', 'https://en.wikipedia.org/wiki/Canada']",NOK - short path at /wiki/Canada (last idx: 1).
/wiki/The_Barbarian_(1920_film),11,"['https://en.wikipedia.org/wiki/The_Barbarian_(1920_film)', 'https://en.wikipedia.org/wiki/Drama_film']",OK - short path at /wiki/Drama_film (last idx: 1).
